0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,Red COM,Red Minimum,Red Maximum,Red Median,Red Mean,Red SDT,Red Variance,Green COM,Green Minimum,Green Maximum,Green Median,Green Mean,Green SDT,Green Variance,Blue COM,Blue Minimum,Blue Maximum,Blue Median,Blue Mean,Blue SDT,Blue Variance,Gray COM,Gray Minimum,Gray Maximum,Gray Median,Gray Mean,Gray SDT,Gray Variance,Inertia Eigen Val1,Inertia Eigen Val2,Inertia Eigen Val3,Glucose
0,0,0,0,0,0,0,0,5,9,18,39,63,124,205,381,602,1005,1523,2283,3178,4172,5360,6558,7529,8534,9006,9134,9152,8985,8551,8138,7404,7017,6554,6210,5686,5641,5372,5205,5129,4879,4764,4521,4450,4176,3800,3433,3317,3071,2942,2870,2694,2675,2381,2332,2288,2494,2074,2247,2613,1812,2890,3384,2583,1473,2232,1342,1912,1519,1517,1605,1409,2191,1930,990,1394,1012,1315,1069,1087,1679,1460,920,1258,934,1058,998,1112,1684,1458,763,1173,859,1160,868,977,986,868,1470,1388,728,1067,692,943,843,909,1480,1167,642,1030,678,924,690,813,1291,1109,626,1015,652,904,669,780,760,689,1107,1017,584,799,589,734,641,726,1163,889,466,816,529,712,582,521,653,486,896,859,325,276,166,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,3,208,28,69.19375,70.44008952,4961.806211,201,2,204,29,69.73802083,70.48216095,4967.735013,202,4,203,29,69.61510417,70.67968591,4995.618001,0.286613333,0.108943529,0.311521176,0.22177098,0.223995257,0.043083721,0.001856207,44860.77843,27688.44277,17173.60873,101
0,0,0,0,1,2,1,5,9,13,37,53,113,181,329,544,898,1518,2291,3406,4694,5949,7525,8575,9420,9736,9634,9342,8820,8182,7380,6825,6312,5795,5568,5223,5021,4866,4601,4441,4249,4084,3881,3572,3572,3340,3028,2991,2830,2724,2664,2623,2747,2880,3054,2919,2220,2225,2492,1779,2447,1876,2232,3031,2231,1395,1849,1282,1724,1367,1514,1476,1305,2055,1959,1101,1400,1084,1245,1101,1210,1729,1373,844,1202,853,1062,1000,1063,1537,1266,795,1117,838,1065,946,985,973,859,1514,1356,711,1100,745,1013,863,906,1431,1176,662,1038,671,940,728,970,1347,1015,625,898,617,824,629,842,743,749,1205,1102,602,734,579,795,702,690,1073,931,488,841,511,737,618,550,834,519,1127,1049,493,781,543,608,707,503,941,743,254,156,71,11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,217,27,72.61510417,75.9545182,5769.088834,213,2,218,28,73.10364583,76.06535148,5785.937695,212,5,218,28,73.26354167,76.36837344,5832.128462,0.291680784,0.116994118,0.30952,0.231962745,0.230739792,0.040048325,0.001603868,45317.4846,28025.20852,17293.53915,83
0,0,0,0,3,8,24,42,56,113,213,351,586,1018,1533,2259,3234,4560,5778,6987,8050,9214,9870,10047,10536,10009,9613,9024,8229,7547,7047,6411,6023,5647,5213,5043,4839,4711,4322,4141,3900,3713,3534,3488,3402,3078,2544,2910,2704,2343,2703,2013,2465,1968,2306,2998,2389,1385,1753,1383,1575,1438,1627,2185,1765,1025,1277,1006,1245,1041,1143,1107,1082,1588,1418,834,1041,834,1011,898,1019,1472,1237,749,803,760,895,837,866,1220,1056,700,891,676,847,813,692,795,700,1133,1092,625,868,699,762,774,733,1225,1070,644,964,651,798,667,846,1163,967,566,936,609,856,607,709,702,685,1047,912,509,812,604,697,637,597,959,894,485,732,528,672,656,586,779,534,986,936,464,684,556,512,575,350,500,172,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,3,210,27,69.13229167,72.12664064,5202.252291,202,2,208,26,69.46302083,72.35226822,5234.850716,202,1,213,26,69.61145833,72.90328263,5314.888619,0.291115294,0.083506667,0.306824314,0.229692941,0.227091183,0.042006526,0.001764548,44926.35948,27675.65704,17251.90307,83
2,1,3,6,7,14,16,23,50,87,141,213,330,470,739,1102,1637,2206,2861,3709,4658,5581,6595,7625,8261,8890,8925,9214,8817,8341,7821,7571,7055,6618,6345,5824,5390,5084,4610,4487,4183,3969,3866,3558,3370,3302,3069,3083,2840,2841,2543,2627,2603,2522,2772,2851,2375,2040,2007,1862,1885,1815,1944,2177,1862,1439,1576,1324,1425,1283,1369,1360,1381,1774,1643,1209,1157,1069,1046,1055,1149,1384,1232,916,874,823,920,886,935,1275,1123,847,870,876,831,839,867,818,850,1337,1188,845,862,759,876,857,831,1364,1180,762,979,708,836,758,827,1192,1096,677,862,686,955,757,768,753,789,1156,1026,691,868,726,794,791,756,1194,953,525,800,568,724,659,696,769,615,1052,995,584,814,686,670,789,651,1162,1048,526,785,529,533,457,165,179,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,227,33,75.18541667,76.53135248,5857.047912,216,1,221,34,75.92552083,76.67779703,5879.484557,213,0,222,34,75.81875,77.14242417,5950.953607,0.290006275,0.095350196,0.314109804,0.235983137,0.231417393,0.041288389,0.001704731,45189.3699,27853.35648,17337.27964,131
0,0,3,3,7,7,14,29,55,93,149,266,392,577,887,1307,1872,2532,3328,4207,5019,5822,6683,7408,7993,8448,9173,8956,9082,8856,8186,7756,7338,6655,6130,5920,5645,5372,5271,4866,4831,4634,4108,3933,3761,3562,3518,3274,3043,3100,2790,2701,2806,2559,2931,3012,2459,1974,2030,1848,1939,1672,1921,2242,1838,1404,1511,1293,1371,1185,1160,1116,1274,1580,1459,1052,1079,959,1065,992,1102,1478,1324,993,985,870,927,892,986,1454,1212,860,904,796,924,789,845,865,788,1103,1062,708,811,744,762,795,772,1124,1015,665,848,642,782,699,797,1139,970,568,772,582,769,624,665,657,643,1062,851,580,747,602,706,718,677,968,919,512,761,573,697,586,623,664,537,921,890,494,730,565,543,541,457,848,783,278,217,121,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,211,28,69.13958333,71.55424294,5120.009683,196,1,207,29,69.94583333,71.78547456,5153.154358,203,0,208,29,70.38645833,72.34282981,5233.485025,0.295036863,0.096398824,0.303865098,0.228256471,0.227160576,0.042021257,0.001765786,45019.57554,27754.98191,17265.8355,113
3,0,6,10,20,27,53,106,165,243,439,679,1025,1492,2167,3060,4146,5128,6250,7248,8256,8966,9524,9733,9866,9573,9026,8301,7945,7198,6483,6311,5806,5409,5183,4983,4671,4441,4284,4065,3996,3896,3738,3646,3323,3176,2786,2909,2568,2453,2526,2236,2373,2058,2431,2842,2260,1501,1717,1527,1596,1449,1553,1927,1576,1128,1234,959,1130,1014,1089,1020,1073,1574,1453,952,985,904,984,933,1081,1395,1240,918,973,830,881,854,900,1199,1070,794,768,744,779,759,805,746,819,1065,1012,654,756,653,711,680,689,1060,945,642,757,583,703,688,668,1081,930,554,825,557,778,596,684,709,677,1069,982,617,764,573,640,624,631,950,836,521,691,517,660,613,520,614,523,904,840,430,543,466,444,558,420,881,733,276,231,108,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,212,24,67.734375,72.08533908,5196.29611,199,0,207,25,68.71354167,72.35428045,5235.1419,199,2,207,25,69.2734375,72.9001652,5314.434086,0.291680784,0.095833333,0.302887843,0.227698824,0.22639316,0.042052866,0.001768444,44893.72796,27661.8748,17233.05169,113
0,2,1,2,2,4,7,15,23,48,74,134,218,346,620,1003,1492,2096,2807,3722,4479,5295,6140,6845,7638,8173,8832,9117,9110,8860,8150,7690,7021,6414,5934,5489,5206,4919,4698,4606,4472,4391,4185,4097,3793,3603,3489,3424,3165,3059,2934,2859,2985,2408,3188,3728,2745,1841,2408,1676,2135,1758,1820,2546,2161,1259,1746,1218,1591,1299,1304,1278,1226,1955,1545,1011,1164,937,1197,956,1052,1613,1362,896,1125,834,1063,965,974,1444,1220,777,970,775,1005,794,823,896,841,1325,1258,671,990,723,838,836,814,1343,1176,592,1013,604,965,679,830,1209,987,533,890,519,845,583,794,699,662,1077,898,516,753,554,707,659,694,1073,982,584,757,522,707,574,603,744,568,1016,967,450,724,622,670,723,596,1105,1018,433,768,400,543,387,101,85,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,215,30,73.09895833,75.21635183,5657.499582,200,4,213,31,73.81041667,75.40718285,5686.243225,205,5,216,31,73.921875,75.79713976,5745.206396,0.289440784,0.101711373,0.301213333,0.237528235,0.23243327,0.039967512,0.001597402,45332.03754,27955.57934,17377.71554,124
3,1,3,3,7,19,29,54,89,138,226,385,654,917,1294,1790,2366,2959,3557,4310,4991,5614,6247,6811,7196,7815,8160,8413,8205,8226,7774,7568,7070,6818,6546,6231,6085,5757,5632,5331,5064,4729,4334,4185,3639,3584,3441,3303,3034,3080,2746,2716,2854,2573,3124,3126,2381,1979,2048,1661,1976,1711,1827,2384,1956,1300,1481,1132,1267,1096,1163,1124,1142,1703,1526,975,1055,868,981,946,1094,1485,1312,901,983,861,900,794,876,1345,1095,812,839,725,833,757,775,843,813,1168,997,707,817,730,710,733,713,1163,1121,582,864,630,791,713,862,1174,1058,618,968,564,824,643,749,727,684,1069,1046,562,782,582,755,701,674,1074,957,552,783,583,701,647,590,760,635,1206,1067,452,751,562,584,608,502,1006,779,220,92,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,211,29,68.93645833,70.75490357,5006.256379,186,3,207,30,69.78541667,70.94674349,5033.440412,201,2,207,30,69.89635417,71.37651916,5094.607487,0.295036863,0.067782745,0.301430196,0.229455686,0.226400508,0.043973447,0.001933664,44690.35289,27529.42625,17162.17615,82
0,0,0,0,0,0,0,0,1,2,8,4,21,42,74,125,217,356,638,1029,1597,2368,3561,4628,6072,7259,8211,8712,9161,9185,8939,8460,8020,7529,7047,6479,6046,5712,5487,5286,5099,4996,4641,4505,4408,4024,3873,3733,3499,3259,3156,2928,2830,2704,2618,2421,2292,2424,2312,2480,2629,2009,3013,3581,2503,1685,2273,1454,2022,1449,1713,1573,1406,2234,2036,1202,1529,1217,1333,1172,1230,1867,1569,998,1261,970,1200,1090,1047,1617,1397,789,1237,816,1182,1007,987,977,972,1548,1435,707,1127,756,1027,951,879,1488,1186,672,1107,658,964,698,898,1340,1053,643,995,581,975,652,826,728,794,1193,1082,515,870,603,742,739,677,1150,931,516,793,551,797,665,599,727,487,1070,1070,545,816,582,705,756,590,1044,694,183,53,37,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,2,214,31,72.384375,73.61546462,5419.236631,208,3,212,31,72.76041667,73.7745785,5442.688433,212,3,212,31,72.79895833,74.16645271,5500.662707,0.291680784,0.114211373,0.312130588,0.230586667,0.229827038,0.040976292,0.001679057,45250.34484,27968.1244,17283.52016,83
6,0,8,7,18,20,51,63,115,196,309,537,794,1153,1746,2427,3373,4402,5708,7077,8192,9176,10141,10541,10567,10313,9944,9352,8685,8093,7263,6776,6346,5845,5569,5424,4878,4797,4451,4225,3963,3735,3594,3445,3331,2953,2743,2577,2337,2447,2228,2053,2199,1944,2337,2578,2092,1661,1660,1382,1602,1391,1527,1869,1505,1246,1308,1054,1138,1055,1039,1052,1088,1511,1378,985,961,931,873,971,999,1250,1115,816,829,734,808,804,867,1157,1044,821,779,724,732,730,741,776,764,1021,952,745,741,731,745,743,737,985,920,679,792,654,711,697,769,1020,930,634,738,550,672,630,638,585,636,909,801,561,589,547,540,608,593,922,825,591,610,522,560,553,595,647,585,821,857,475,574,568,557,517,346,319,114,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,214,25,67.803125,71.47973774,5109.352907,197,0,209,26,68.25104167,71.46976706,5107.927603,200,0,206,26,68.72552083,71.53928972,5117.869974,0.289716471,0.082261961,0.305976078,0.221880392,0.222393868,0.043965297,0.001932947,44641.07438,27512.92828,17129.34188,124
