Red COM,Red Minimum,Red Maximum,Red Median,Red Mean,Red SDT,Red Variance,Green COM,Green Minimum,Green Maximum,Green Median,Green Mean,Green SDT,Green Variance,Blue COM,Blue Minimum,Blue Maximum,Blue Median,Blue Mean,Blue SDT,Blue Variance,Gray COM,Gray Minimum,Gray Maximum,Gray Median,Gray Mean,Gray SDT,Gray Variance,Inertia Eigen Val1,Inertia Eigen Val2,Inertia Eigen Val3,Glucose
208,3,208,28,69.19375,70.44008952,4961.806211,201,2,204,29,69.73802083,70.48216095,4967.735013,202,4,203,29,69.61510417,70.67968591,4995.618001,0.286613333,0.108943529,0.311521176,0.22177098,0.223995257,0.043083721,0.001856207,44860.77843,27688.44277,17173.60873,101
210,0,217,27,72.61510417,75.9545182,5769.088834,213,2,218,28,73.10364583,76.06535148,5785.937695,212,5,218,28,73.26354167,76.36837344,5832.128462,0.291680784,0.116994118,0.30952,0.231962745,0.230739792,0.040048325,0.001603868,45317.4846,28025.20852,17293.53915,83
199,3,210,27,69.13229167,72.12664064,5202.252291,202,2,208,26,69.46302083,72.35226822,5234.850716,202,1,213,26,69.61145833,72.90328263,5314.888619,0.291115294,0.083506667,0.306824314,0.229692941,0.227091183,0.042006526,0.001764548,44926.35948,27675.65704,17251.90307,83
212,0,227,33,75.18541667,76.53135248,5857.047912,216,1,221,34,75.92552083,76.67779703,5879.484557,213,0,222,34,75.81875,77.14242417,5950.953607,0.290006275,0.095350196,0.314109804,0.235983137,0.231417393,0.041288389,0.001704731,45189.3699,27853.35648,17337.27964,131
193,0,211,28,69.13958333,71.55424294,5120.009683,196,1,207,29,69.94583333,71.78547456,5153.154358,203,0,208,29,70.38645833,72.34282981,5233.485025,0.295036863,0.096398824,0.303865098,0.228256471,0.227160576,0.042021257,0.001765786,45019.57554,27754.98191,17265.8355,113
192,1,212,24,67.734375,72.08533908,5196.29611,199,0,207,25,68.71354167,72.35428045,5235.1419,199,2,207,25,69.2734375,72.9001652,5314.434086,0.291680784,0.095833333,0.302887843,0.227698824,0.22639316,0.042052866,0.001768444,44893.72796,27661.8748,17233.05169,113
201,0,215,30,73.09895833,75.21635183,5657.499582,200,4,213,31,73.81041667,75.40718285,5686.243225,205,5,216,31,73.921875,75.79713976,5745.206396,0.289440784,0.101711373,0.301213333,0.237528235,0.23243327,0.039967512,0.001597402,45332.03754,27955.57934,17377.71554,124
177,0,211,29,68.93645833,70.75490357,5006.256379,186,3,207,30,69.78541667,70.94674349,5033.440412,201,2,207,30,69.89635417,71.37651916,5094.607487,0.295036863,0.067782745,0.301430196,0.229455686,0.226400508,0.043973447,0.001933664,44690.35289,27529.42625,17162.17615,82
199,2,214,31,72.384375,73.61546462,5419.236631,208,3,212,31,72.76041667,73.7745785,5442.688433,212,3,212,31,72.79895833,74.16645271,5500.662707,0.291680784,0.114211373,0.312130588,0.230586667,0.229827038,0.040976292,0.001679057,45250.34484,27968.1244,17283.52016,83
195,0,214,25,67.803125,71.47973774,5109.352907,197,0,209,26,68.25104167,71.46976706,5107.927603,200,0,206,26,68.72552083,71.53928972,5117.869974,0.289716471,0.082261961,0.305976078,0.221880392,0.222393868,0.043965297,0.001932947,44641.07438,27512.92828,17129.34188,124
211,0,219,31,73.04010417,74.85509582,5603.285371,208,0,217,32,73.6921875,75.01197503,5626.796397,208,1,213,32,74.1421875,75.38822501,5683.38447,0.289440784,0.067247059,0.303453333,0.232298824,0.228168051,0.043135472,0.001860669,44899.79483,27597.76791,17303.29054,131
156,4,171,21,53.69583333,54.34160069,2953.009566,157,3,170,21,53.68333333,54.54426464,2975.076806,165,1,169,20,53.95625,55.04020465,3029.424128,0.277,0.070776471,0.293513333,0.192401176,0.199790837,0.051061829,0.00260731,42859.30655,26186.46527,16673.93958,109
206,3,214,33,73.09635417,73.49740349,5401.86832,200,0,214,32,72.95260417,73.552039,5409.902441,200,2,216,32,72.78541667,73.76943103,5441.928954,0.291115294,0.094369804,0.304301569,0.230296078,0.22797817,0.041990447,0.001763198,45107.02284,27791.38852,17316.89226,95
210,0,223,28,72.1765625,75.34839617,5677.380805,207,0,217,30,73.02395833,75.64768564,5722.572343,210,0,216,29.5,73.5953125,76.31026497,5823.256541,0.291970588,0.085863137,0.306780392,0.235318824,0.23038976,0.041826997,0.001749498,44993.47861,27722.38399,17272.34919,120
223,0,226,30,76.02083333,79.0957001,6256.129774,222,1,225,31,76.64947917,79.28863116,6286.687031,217,2,227,30,76.62083333,79.83081057,6372.958316,0.294210588,0.094747059,0.304867059,0.239715686,0.234095126,0.039282111,0.001543084,45495.02996,28117.59034,17378.69624,94
204,1,213,27,67.58020833,70.18262505,4925.600858,203,1,210,28,68.57916667,70.42393195,4959.530191,199,4,210,28,68.88125,71.02152302,5044.056732,0.291665882,0.085052549,0.302300392,0.227354902,0.22534561,0.043087418,0.001856526,44827.66072,27602.73597,17226.13687,103
215,0,221,38,73.63072917,71.66122261,5135.330827,207,0,221,38,73.6703125,71.70209023,5141.189744,210,0,217,37,73.303125,72.36767947,5237.081032,0.287178824,0.069464314,0.312718039,0.221970588,0.218741801,0.04835857,0.002338551,43965.56378,26902.44396,17064.31891,111
193,3,206,28,68.74635417,70.43204273,4960.672643,194,1,205,28,69.2390625,70.5978682,4984.058995,199,4,204,28,69.3484375,70.97142139,5036.942654,0.290534902,0.111979216,0.304257647,0.221405098,0.223860399,0.042886835,0.001839281,44834.24324,27672.15676,17163.33822,101
212,0,221,31,74.36822917,76.40695138,5838.02222,213,0,220,32,75.20416667,76.5751332,5863.751024,213,0,223,32,75.32083333,77.05744734,5937.850191,0.293927843,0.104479216,0.306280784,0.232506275,0.229975025,0.041027658,0.001683269,45267.53464,27953.65549,17315.13938,142
193,0,215,28,69.56041667,71.83110613,5159.707808,194,1,212,29,70.95,71.92190209,5172.76,198,0,212,30,71.07291667,72.46321549,5250.9176,0.291680784,0.094196471,0.303736078,0.227178039,0.226109712,0.042725832,0.001825497,44919.18032,27697.28344,17223.13369,84
204,2,208,26,68.08802083,71.12702152,5059.05319,201,3,204,26,68.49322917,71.41559671,5100.187454,208,5,208,27,69.27552083,71.99294399,5182.983984,0.291115294,0.096428627,0.301213333,0.230586667,0.227700565,0.042112989,0.001773504,44920.25715,27672.47202,17249.00442,122
197,0,216,27,70.50416667,73.77532039,5442.797899,202,0,214,28,70.85729167,74.02490747,5479.686926,209,0,215,28,71.70729167,74.68252075,5577.478905,0.291680784,0.103913725,0.306824314,0.233867451,0.23016902,0.040946672,0.00167663,45216.30409,27900.11347,17317.42637,92
199,4,206,29,70.70260417,72.08531255,5196.292285,201,4,207,29,70.71041667,72.14861323,5205.422391,202,4,206,30,71.16197917,72.38757312,5239.960742,0.291100392,0.113645882,0.307085098,0.225578824,0.226516775,0.042199859,0.001780828,44981.70461,27765.4444,17217.5365,101
206,0,216,30,70.5234375,71.38424103,5095.709867,188,0,211,31,71.17083333,71.43105638,5102.395816,198,0,218,32,71.55416667,71.71540385,5143.099149,0.287193725,0.079761961,0.307085098,0.223161961,0.223494699,0.043684842,0.001908365,44853.66106,27636.98698,17217.92178,108
201,2,215,27,69.20833333,72.38442176,5239.504514,202,0,210,28,70.09947917,72.69611406,5284.725,205,0,211,28,70.67916667,73.27699434,5369.517899,0.296450588,0.088898824,0.304867059,0.228630196,0.226080116,0.043127547,0.001859985,44772.02606,27563.10126,17210.1452,120
195,0,219,28,69.6046875,72.05887696,5192.481749,200,0,214,28,70.10572917,72.21161587,5214.517467,202,2,210,28,70.54427083,72.68613404,5283.274082,0.289716471,0.096726275,0.309064314,0.226336863,0.22514066,0.043213911,0.001867442,44809.18242,27620.38385,17190.02209,105
211,2,218,26,71.64635417,76.38083336,5834.031705,211,0,219,26,72.13854167,76.83026187,5902.88914,217,2,220,25,72.78645833,77.82562121,6056.827317,0.290006275,0.107269804,0.301778824,0.239700784,0.233433003,0.039249073,0.00154049,45351.80516,28000.45986,17352.56303,140
209,0,223,29,72.11458333,74.81601319,5597.435829,212,0,216,30,72.85,74.77476875,5591.266042,203,0,219,29,72.3515625,74.82949958,5599.454008,0.291680784,0.099003922,0.303736078,0.229923137,0.227733118,0.041729604,0.00174136,45119.67726,27825.66446,17295.23818,87
181,0,207,26,66.53541667,69.29677118,4802.042496,187,0,201,26,67.0265625,69.30836757,4803.649815,196,0,204,27,67.38125,69.56165927,4838.82444,0.283257255,0.086854902,0.301756863,0.223554118,0.22286424,0.044014798,0.001937302,44707.07242,27509.02781,17199.24917,79
160,0,171,24,54.61510417,53.44506799,2856.375293,153,2,166,24,54.61302083,53.67454721,2880.957018,159,0,168,24,55.25208333,54.25450246,2943.551037,0.278391765,0.058714118,0.292687059,0.18467098,0.193355971,0.053028933,0.002812068,42305.57165,25796.02641,16510.64148,147
202,0,209,27,69.4953125,72.64762254,5277.677061,204,0,211,29,70.62708333,72.91159384,5316.100516,202,3,213,28,71.35989583,73.54280327,5408.543912,0.287193725,0.090878039,0.306258824,0.227001176,0.225125053,0.043476059,0.001890168,44698.19445,27523.1948,17176.20998,80
194,1,210,26,68.67291667,71.87569055,5166.114891,195,3,207,27,69.83489583,72.06887136,5193.92222,201,3,209,28,70.240625,72.73028381,5289.694183,0.291115294,0.101949412,0.300647843,0.231213333,0.228461051,0.041300226,0.001705709,45082.33457,27794.67949,17288.87027,83
204,0,215,32,70.69114583,70.72769027,5002.406172,201,2,210,32.5,71.15885417,71.07398782,5051.511745,202,0,212,32,71.69635417,71.85929529,5163.75832,0.291680784,0.085610196,0.306824314,0.226130196,0.224967774,0.043744416,0.001913574,44794.64134,27579.65271,17216.25098,131
215,0,226,34,76.63072917,77.29935447,5975.190202,219,0,225,34,76.76354167,77.67801681,6033.874296,222,3,229,33,77.30052083,78.56844017,6172.999791,0.287744314,0.090647843,0.311543137,0.227887843,0.223555594,0.044094128,0.001944292,44663.34074,27414.31231,17250.16255,92
