0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,Red COM,Red Minimum,Red Maximum,Red Median,Red Mean,Red SDT,Red Variance,Green COM,Green Minimum,Green Maximum,Green Median,Green Mean,Green SDT,Green Variance,Blue COM,Blue Maximum,Blue Median,Blue Mean,Blue SDT,Blue Variance,Gray COM,Gray Minimum,Gray Median,Gray Mean,Gray SDT,Gray Variance,Inertia Eigen Val1,Inertia Eigen Val2,Inertia Eigen Val3,Glucose
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,6,2,7,8,6,14,27,46,60,90,151,191,338,413,618,830,976,1313,1609,1909,2249,2608,2917,3086,3461,3649,3531,3607,3630,3519,3441,3430,3417,3464,3285,3240,3014,2722,2608,2526,2538,2385,2355,2281,2375,2347,2267,2027,1981,1981,1909,1900,1895,1875,1836,2003,1902,1790,1714,1626,1709,1721,1713,1842,1810,1927,1912,1791,1586,1685,1787,1711,1757,1666,1664,1800,1781,1763,1587,1420,1337,1408,1435,1389,1373,1462,1467,1587,1441,1329,1274,1280,1266,1189,1175,1208,1299,1325,1317,1192,1049,1048,1080,1116,1023,1047,1108,1218,1290,1202,1093,1016,1065,1120,1091,1136,1190,1322,1591,1640,1644,1428,1477,1837,2484,3200,3683,5959,22321,38247,27081,208,3,208,28,69.19375,70.44008952,4961.806211,201,2,204,29,69.73802083,70.48216095,4967.735013,202,203,29,69.61510417,70.67968591,4995.618001,0.286613333,0.108943529,0.22177098,0.223995257,0.043083721,0.001856207,44860.77843,27688.44277,17173.60873,101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,2,2,4,7,12,10,25,28,39,54,68,105,139,195,269,339,426,562,715,927,1066,1360,1566,1895,2219,2444,2714,3027,3117,3247,3349,3511,3441,3586,3604,3771,3657,3506,3282,3175,3013,2831,2770,2672,2557,2514,2498,2511,2324,2146,2185,2079,1912,1973,1979,1904,1982,1920,1936,1805,1749,1765,1724,1726,1772,1701,1786,1800,1922,1801,1723,1636,1736,1607,1682,1588,1648,1717,1717,1608,1547,1481,1466,1445,1448,1407,1380,1494,1505,1447,1327,1210,1258,1203,1248,1231,1235,1176,1313,1393,1219,1213,1184,1192,1238,1238,1226,1232,1411,1654,1697,1751,1639,1566,1763,2322,2688,2975,2886,7765,27006,42254,29476,210,0,217,27,72.61510417,75.9545182,5769.088834,213,2,218,28,73.10364583,76.06535148,5785.937695,212,218,28,73.26354167,76.36837344,5832.128462,0.291680784,0.116994118,0.231962745,0.230739792,0.040048325,0.001603868,45317.4846,28025.20852,17293.53915,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,4,5,6,9,8,9,18,38,31,39,53,75,106,143,182,269,323,321,411,530,591,743,810,972,1074,1241,1423,1506,1797,1883,2040,2081,2239,2373,2457,2624,2643,2909,2941,2924,2990,2738,2695,2765,2542,2494,2612,2590,2600,2497,2504,2365,2207,2212,2115,2127,2258,2194,2166,2144,2039,1992,1909,1749,1796,1690,1696,1742,1732,1758,1701,1693,1572,1573,1588,1584,1570,1663,1571,1619,1710,1636,1560,1500,1523,1552,1431,1452,1549,1532,1592,1555,1466,1368,1389,1391,1377,1240,1298,1367,1397,1425,1355,1260,1231,1164,1200,1166,1156,1298,1313,1373,1323,1287,1167,1203,1204,1240,1206,1289,1368,1560,1538,1561,1488,1553,1806,2168,2202,2172,2401,4142,9494,25740,40791,29559,199,3,210,27,69.13229167,72.12664064,5202.252291,202,2,208,26,69.46302083,72.35226822,5234.850716,202,213,26,69.61145833,72.90328263,5314.888619,0.291115294,0.083506667,0.229692941,0.227091183,0.042006526,0.001764548,44926.35948,27675.65704,17251.90307,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,3,2,3,6,4,4,9,10,13,13,21,28,36,40,71,69,95,105,139,198,246,320,392,498,586,686,790,994,1196,1365,1580,1657,1818,2016,2159,2322,2495,2561,2595,2615,2718,2626,2782,2670,2630,2755,2738,2721,2692,2620,2569,2371,2412,2413,2334,2319,2305,2267,2219,2204,1996,1917,1895,1826,1868,1888,1822,1803,1787,1723,1694,1635,1676,1606,1665,1636,1648,1628,1653,1607,1490,1522,1455,1475,1573,1516,1662,1643,1715,1593,1632,1592,1392,1408,1451,1403,1449,1465,1502,1547,1534,1473,1438,1382,1359,1296,1355,1389,1450,1507,1420,1451,1359,1432,1468,1406,1398,1537,1617,1751,1807,1930,1850,1967,2014,2352,2681,2821,3134,4734,10583,25812,38797,32105,212,0,227,33,75.18541667,76.53135248,5857.047912,216,1,221,34,75.92552083,76.67779703,5879.484557,213,222,34,75.81875,77.14242417,5950.953607,0.290006275,0.095350196,0.235983137,0.231417393,0.041288389,0.001704731,45189.3699,27853.35648,17337.27964,131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,3,4,2,4,6,6,6,6,4,18,15,29,30,37,59,71,93,109,123,176,211,254,288,336,399,467,577,659,717,740,794,827,948,971,1088,1137,1247,1320,1396,1491,1506,1705,1767,1911,2054,2109,2265,2419,2512,2659,2613,2673,2801,2719,2762,2952,2912,2947,2906,2955,2800,2620,2577,2490,2427,2352,2396,2354,2376,2342,2187,1963,1955,1967,1938,1858,1822,1896,1947,1938,1806,1724,1581,1644,1654,1649,1581,1665,1764,1791,1806,1770,1675,1630,1656,1598,1628,1646,1641,1616,1592,1497,1413,1400,1416,1275,1348,1304,1306,1381,1330,1343,1320,1224,1226,1149,1142,1230,1235,1273,1330,1339,1272,1270,1208,1280,1368,1386,1339,1427,1600,1716,1781,1732,1759,1860,2102,2443,2862,2856,3938,9719,24556,36485,28617,193,0,211,28,69.13958333,71.55424294,5120.009683,196,1,207,29,69.94583333,71.78547456,5153.154358,203,208,29,70.38645833,72.34282981,5233.485025,0.295036863,0.096398824,0.228256471,0.227160576,0.042021257,0.001765786,45019.57554,27754.98191,17265.8355,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,6,4,4,3,1,13,14,19,12,21,30,35,41,43,63,82,95,131,164,215,303,345,352,461,543,644,797,816,873,942,1065,1154,1239,1324,1391,1515,1590,1704,1742,1869,1956,2124,2318,2543,2660,2717,2772,2870,2877,2825,2993,2956,2895,2931,2932,2877,2793,2677,2546,2436,2253,2299,2199,2177,2163,2240,2113,2076,1990,2038,1914,1861,1881,1893,1849,1863,1885,1776,1645,1686,1617,1642,1629,1604,1641,1753,1737,1749,1673,1602,1678,1570,1537,1575,1508,1650,1569,1520,1459,1402,1374,1337,1279,1340,1296,1355,1416,1368,1313,1253,1207,1199,1172,1187,1220,1248,1310,1347,1244,1238,1202,1188,1273,1358,1412,1470,1513,1698,1824,1703,1609,1517,1918,2238,2369,2410,2736,4385,9827,24357,36586,29619,192,1,212,24,67.734375,72.08533908,5196.29611,199,0,207,25,68.71354167,72.35428045,5235.1419,199,207,25,69.2734375,72.9001652,5314.434086,0.291680784,0.095833333,0.227698824,0.22639316,0.042052866,0.001768444,44893.72796,27661.8748,17233.05169,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,3,0,0,1,2,0,3,3,2,1,3,5,5,4,9,15,10,18,31,33,71,81,100,162,217,295,376,517,675,757,904,1050,1197,1340,1600,1644,1671,1879,1997,2099,2216,2322,2350,2554,2517,2551,2694,2826,2855,3015,2967,2891,2734,2654,2447,2429,2495,2377,2396,2449,2489,2406,2281,2215,2063,2067,1966,2011,1937,1937,1958,1935,1917,1804,1654,1693,1618,1601,1562,1636,1721,1752,1734,1737,1613,1675,1535,1522,1551,1517,1559,1542,1605,1651,1467,1432,1429,1368,1456,1476,1438,1510,1470,1483,1454,1339,1289,1269,1296,1227,1223,1368,1394,1356,1236,1274,1200,1249,1282,1365,1337,1473,1540,1761,1764,1679,1532,1728,1992,2352,2488,2328,3672,9505,27875,45346,31489,201,0,215,30,73.09895833,75.21635183,5657.499582,200,4,213,31,73.81041667,75.40718285,5686.243225,205,216,31,73.921875,75.79713976,5745.206396,0.289440784,0.101711373,0.237528235,0.23243327,0.039967512,0.001597402,45332.03754,27955.57934,17377.71554,124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,3,1,2,4,5,2,5,4,5,11,10,9,8,14,14,20,25,14,26,35,39,43,65,58,74,77,84,83,78,76,88,82,85,94,102,87,132,120,102,138,134,159,138,135,174,158,164,168,204,203,215,221,262,278,293,324,339,366,386,465,463,555,587,631,696,691,796,809,896,848,963,1020,1027,1066,1185,1187,1257,1334,1429,1484,1505,1552,1586,1709,1870,1933,2051,2132,2290,2320,2414,2358,2411,2444,2585,2466,2531,2513,2570,2363,2359,2351,2222,2141,2156,2088,2141,2120,2115,2130,2030,2060,1859,1844,1782,1719,1739,1777,1834,1725,1764,1650,1584,1602,1561,1589,1621,1563,1657,1708,1630,1627,1621,1540,1497,1479,1565,1616,1612,1512,1588,1498,1393,1364,1312,1343,1320,1367,1321,1350,1408,1424,1334,1276,1237,1288,1281,1245,1255,1379,1372,1317,1286,1238,1235,1261,1285,1347,1343,1462,1540,1707,1772,1706,1632,1902,2249,2557,2803,2810,3977,9698,24756,38006,28523,177,0,211,29,68.93645833,70.75490357,5006.256379,186,3,207,30,69.78541667,70.94674349,5033.440412,201,207,30,69.89635417,71.37651916,5094.607487,0.295036863,0.067782745,0.229455686,0.226400508,0.043973447,0.001933664,44690.35289,27529.42625,17162.17615,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,5,2,4,1,13,8,15,19,23,50,64,80,118,191,214,294,357,493,656,803,971,1150,1377,1538,1632,1833,2058,2421,2639,2974,3258,3430,3495,3539,3343,3408,3346,3329,3243,3203,3182,3097,2944,2852,2601,2409,2442,2407,2326,2363,2253,2406,2318,2201,1954,1830,1864,1828,1745,1798,1799,1869,1933,1950,1921,1760,1640,1722,1663,1607,1576,1677,1907,1795,1746,1639,1594,1663,1578,1584,1648,1587,1701,1686,1644,1521,1363,1420,1423,1370,1351,1271,1291,1375,1447,1362,1281,1207,1194,1170,1207,1140,1116,1201,1311,1330,1269,1190,1184,1302,1305,1255,1174,1293,1454,1650,1779,1771,1644,1587,1918,2611,3289,3803,6650,24374,42334,29702,199,2,214,31,72.384375,73.61546462,5419.236631,208,3,212,31,72.76041667,73.7745785,5442.688433,212,212,31,72.79895833,74.16645271,5500.662707,0.291680784,0.114211373,0.230586667,0.229827038,0.040976292,0.001679057,45250.34484,27968.1244,17283.52016,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,1,5,3,3,3,7,6,12,13,19,17,38,28,56,47,75,97,105,123,179,187,230,250,320,331,370,422,493,519,541,601,649,743,773,818,929,1036,1115,1230,1268,1378,1456,1492,1639,1738,1838,1893,2017,2031,2113,2047,2187,2242,2230,2336,2331,2465,2437,2517,2448,2398,2529,2417,2426,2466,2468,2500,2422,2356,2288,2298,2258,2267,2066,2223,2089,2152,2081,2134,2123,2069,2020,1939,1884,1827,1875,1861,1826,1858,1799,1843,1770,1696,1692,1715,1718,1755,1740,1749,1778,1759,1633,1609,1577,1521,1526,1526,1450,1447,1488,1465,1436,1394,1361,1261,1333,1268,1338,1285,1332,1360,1421,1281,1236,1236,1231,1241,1204,1260,1281,1304,1303,1216,1282,1290,1270,1402,1340,1499,1527,1684,1702,1774,1750,1786,1887,2203,2479,2693,2898,4431,10062,21947,30428,27401,195,0,214,25,67.803125,71.47973774,5109.352907,197,0,209,26,68.25104167,71.46976706,5107.927603,200,206,26,68.72552083,71.53928972,5117.869974,0.289716471,0.082261961,0.221880392,0.222393868,0.043965297,0.001932947,44641.07438,27512.92828,17129.34188,124
